product_id,product_name,product_price,product_quantity,date_updated
1,Bagel - Whole White Sesame,430,97,2018-11-01 00:00:00
2,Sauce - Caesar Dressing,825,16,2019-04-10 00:00:00
3,Shiratamako - Rice Flour,799,71,2018-03-07 00:00:00
4,Tart - Raisin And Pecan,106,86,2019-01-18 00:00:00
5,Radish,247,22,2018-11-06 00:00:00
6,Juice - V8 Splash,114,67,2018-01-13 00:00:00
7,Red Currants,677,49,2018-10-01 00:00:00
8,Soup - Base Broth Beef,544,62,2019-03-09 00:00:00
9,Tomatoes Tear Drop Yellow,64,73,2019-02-09 00:00:00
10,Mussels - Cultivated,934,24,2018-07-31 00:00:00
11,"Bread - Crumbs, Bulk",449,88,2019-01-12 00:00:00
12,"Beans - Long, Chinese",473,47,2018-09-22 00:00:00
13,"Beans - Navy, Dry",459,44,2018-01-20 00:00:00
14,"Basil - Dry, Rubbed",869,21,2018-02-04 00:00:00
15,Apple - Granny Smith,505,72,2018-01-12 00:00:00
16,"Lid - High Heat, Super Clear",123,5,2018-02-09 00:00:00
17,Oranges - Navel,478,46,2018-06-06 00:00:00
18,Berry Brulee,759,50,2018-08-25 00:00:00
19,Lobster - Canned Premium,761,57,2018-04-15 00:00:00
20,Ham - Procutinni,570,8,2019-01-09 00:00:00
21,Veal - Ground,767,5,2018-12-19 00:00:00
22,Oil - Cooking Spray,420,6,2018-06-11 00:00:00
23,"Extract - Vanilla,artificial",291,20,2018-06-08 00:00:00
24,"Mushroom - Porcini, Dry",814,71,2018-07-26 00:00:00
25,Wine - Chateau Bonnet,741,54,2018-03-10 00:00:00
